match_date,match_code,team,player_name,position,champion,kills,deaths,assists,cs,gold,first_blood,pentakill,damage_dealt,tower_damage,healing,damage_taken,vision_score,wards_placed,wards_destroyed,victory,game_duration
2025-05-19,20250519-6,1,이월길각 년구원,,,10,9,5,313,20212,0,0,49870,14739,26048,59348,34,14,1,1,45
2025-05-19,20250519-6,1,팔야의 점글터,,,10,10,12,241,17432,0,0,35306,4,38019,70966,36,6,3,1,45
2025-05-19,20250519-6,1,정윤재,,,8,12,15,76,13735,0,0,47181,477,6231,39435,51,24,3,1,45
2025-05-19,20250519-6,1,허균,,,4,8,19,157,13272,0,0,27591,1802,5664,45000,32,8,4,1,45
2025-05-19,20250519-6,1,김태형,,,14,4,14,327,20288,0,0,68022,1993,1818,15587,42,19,4,1,45
2025-05-19,20250519-6,2,헤 음,,,7,10,19,69,14672,0,0,44266,3174,3782,31430,95,35,11,0,45
2025-05-19,20250519-6,2,진파림들어,,,25,8,111,319,25397,0,0,67131,0,42267,88521,35,4,8,0,45
2025-05-19,20250519-6,2,최광호,,,4,10,3,158,11878,0,0,21345,5456,13230,56927,11,5,1,0,45
2025-05-19,20250519-6,2,한종인,,,2,6,13,211,14420,0,0,25271,864,19512,62381,20,12,1,0,45
2025-05-19,20250519-6,2,ClimbinglsFun,,,5,12,8,249,14692,0,0,22909,966,10434,40119,29,12,7,0,45
